date,Country,Alpha3,pc1_raw,pc1,pc1_rank
2006-04-01,Japan,JPN,-1.6175227414951374,-1.0169947485556774,81
2006-04-01,Jordan,JOR,1.5777602714212362,0.9919946529048544,22
2006-04-01,Kazakhstan,KAZ,0.012365156905609732,0.007774419064085776,56
2006-04-01,Kuwait,KWT,-1.8604171019991758,-1.1697111727204867,93
2006-04-01,Latvia,LVA,-0.5844175505936441,-0.36744434230836726,64
2006-04-01,Lebanon,LBN,2.5079569077338393,1.5768427480726814,3
2006-04-01,Lithuania,LTU,-1.199400337298976,-0.7541061483447673,76
2006-04-01,Luxembourg,LUX,-1.8224533765348307,-1.1458420125273134,90
2006-04-01,Malaysia,MYS,-0.7602941190261773,-0.47802426919369023,70
2006-04-01,Malta,MLT,-0.9959316475138705,-0.626178061957749,73
2006-04-01,Mauritius,MUS,-0.04266673779592452,-0.02682611326771735,57
2006-04-01,Mexico,MEX,-0.2620731454136965,-0.1647748163199466,62
2006-04-01,Moldova,MDA,1.62560625901679,1.0220771468790417,21
2006-04-01,Mongolia,MNG,2.0076530382146043,1.2622837035965353,10
2006-04-01,Montenegro,MNE,1.0567184154450078,0.6643968901582706,40
2006-04-01,Morocco,MAR,0.5247972495592058,0.32995891381708903,47
2006-04-01,Mozambique,MOZ,2.589541814975569,1.6281381148070913,2
2006-04-01,Namibia,NAM,1.0481891645316896,0.6590342432133872,41
2006-04-01,Netherlands,NLD,-2.867705058477279,-1.8030293547416636,108
2006-04-01,New Zealand,NZL,-2.5400436765717718,-1.5970168541728123,103
2006-04-01,Nicaragua,NIC,2.1536400113943026,1.3540709664723927,8
2006-04-01,Norway,NOR,-1.8224533765348307,-1.1458420125273134,92
2006-04-01,Oman,OMN,-0.5556532827859428,-0.3493592121546845,63
2006-04-01,Pakistan,PAK,2.154499984817342,1.3546116627066354,7
2006-04-01,Panama,PAN,-1.0011580561309064,-0.6294640931095699,74
2006-04-01,Papua New Guinea,PNG,1.3057115039853122,0.8209478040811767,30
2006-04-01,Paraguay,PRY,1.1516110585249395,0.7240593092471393,36
2006-04-01,Peru,PER,0.39780310028247073,0.25011312272029435,49
2006-04-01,Philippines,PHL,0.939140795966682,0.5904716101670869,42
2006-04-01,Poland,POL,-0.8469550260980033,-0.5325110996636305,72
2006-04-01,Portugal,PRT,-0.21555733098873353,-0.13552865007980414,60
2006-04-01,Qatar,QAT,-1.8847084463156538,-1.1849840149325108,94
2006-04-01,Romania,ROU,0.25601293115840523,0.1609645415617342,54
2006-04-01,Russia,RUS,-0.2178257882587786,-0.13695491078809335,61
2006-04-01,Saudi Arabia,SAU,-1.2578000516298824,-0.7908241500569319,77
2006-04-01,Singapore,SGP,-1.8224533765348307,-1.1458420125273134,86
2006-04-01,Slovakia,SVK,-2.2066103308504634,-1.387375312268754,99
2006-04-01,Slovenia,SVN,-1.957433276580301,-1.2307087324721138,95
2006-04-01,South Africa,ZAF,0.30741148204747343,0.19328065990529272,51
2006-04-01,South Korea,KOR,-1.7895965890790024,-1.125183768015647,85
2006-04-01,Spain,ESP,-0.7872595327715646,-0.4949783950728363,71
2006-04-01,Sri Lanka,LKA,1.5152787466726685,0.9527102701132348,24
2006-04-01,Suriname,SUR,2.330487281127645,1.465261208192873,6
2006-04-01,Sweden,SWE,-1.8224533765348307,-1.1458420125273134,87
2006-04-01,Switzerland,CHE,-1.8224533765348307,-1.1458420125273134,91
2006-04-01,Taiwan,TWN,-1.9661334142052151,-1.2361788220413465,96
2006-04-01,Thailand,THA,-0.16028730183691034,-0.10077839405065737,59
2006-04-01,Trinidad and Tobago,TTO,-0.6215535418046099,-0.39079307619327847,66
2006-04-01,Tunisia,TUN,1.8385917088574935,1.1559887627408056,18
2006-04-01,Türkiye,TUR,1.2742627671198945,0.8011748516395463,32
2006-04-01,Ukraine,UKR,1.5477025750937758,0.9730962977012344,23
2006-04-01,United Arab Emirates,ARE,-2.3631545040006094,-1.4858002666304653,102
2006-04-01,United Kingdom,GBR,-2.276364309259784,-1.4312321483510542,101
2006-04-01,United States,USA,-2.8056416801919517,-1.7640078756770419,107
2006-04-01,Uruguay,URY,1.8962151298179917,1.1922186808787547,15
2006-04-01,Venezuela,VEN,2.3624020728191684,1.4853271860730521,5
2006-04-01,Zambia,ZMB,0.6016338396110571,0.37826884268240324,46
2006-05-01,Albania,ALB,1.1507441927999806,0.7235142795746841,37
2006-05-01,Angola,AGO,2.00414526925393,1.2600782430359903,11
2006-05-01,Argentina,ARG,1.627402996910926,1.023206820642502,20
2006-05-01,Armenia,ARM,1.4298890499005357,0.8990226952988304,26
2006-05-01,Australia,AUS,-2.7118078579631186,-1.7050111753552757,105
2006-05-01,Austria,AUT,-2.7433992808003635,-1.7248738396014565,106
2006-05-01,Azerbaijan,AZE,0.6111608669981677,0.3842588275979055,45
2006-05-01,Bahamas,BHS,0.16015515230054428,0.10069530688219873,55
2006-05-01,Bahrain,BHR,-0.6041234616986456,-0.3798341576693353,65
2006-05-01,Bangladesh,BGD,1.4413592919831197,0.9062344492132562,25
2006-05-01,Barbados,BRB,1.2994918518524254,0.8170372849924978,31
2006-05-01,Belarus,BLR,2.4992823249777434,1.5713887257689787,4
2006-05-01,Belgium,BEL,-2.1948855729657186,-1.3800035351116362,98
2006-05-01,Belize,BLZ,1.880179365436565,1.1821364188204713,16
2006-05-01,Bolivia,BOL,1.982031553264589,1.2461745541076827,12
2006-05-01,Bosnia and Herzegovina,BIH,1.189991050263228,0.7481901910246473,34
2006-05-01,Botswana,BWA,-0.6500689861224952,-0.40872176206585875,69
2006-05-01,Brazil,BRA,1.1012112310923585,0.6923711242762938,39
2006-05-01,Bulgaria,BGR,0.2847938616693814,0.1790601481565158,52
2006-05-01,Cambodia,KHM,1.3070696747400614,0.8218017349037784,28
2006-05-01,Canada,CAN,-0.15535616738235988,-0.09767801238921361,58
2006-05-01,Chile,CHL,-1.0623226621284998,-0.6679204816976722,75
2006-05-01,China,CHN,-0.640883298937439,-0.40294639001733823,68
2006-05-01,Colombia,COL,0.6587223717901523,0.41416245699735604,44
2006-05-01,Costa Rica,CRI,1.2421305871861308,0.7809721939495047,33
2006-05-01,Croatia,HRV,0.4179251292710431,0.26276456636723033,48
2006-05-01,Cyprus,CYP,0.35305502284044754,0.22197839632724525,50
2006-05-01,Czechia,CZE,-1.6817828236637091,-1.0573973743925087,83
2006-05-01,Denmark,DNK,-1.8224533765348307,-1.1458420125273134,89
2006-05-01,Dominican Republic,DOM,1.8714236905695787,1.1766314109888316,17
2006-05-01,Ecuador,ECU,2.7894004652847495,1.7537964394807746,1
2006-05-01,Egypt,EGY,1.9230677828737528,1.2091019100550282,14
2006-05-01,El Salvador,SLV,2.0609568921813115,1.2957977545407662,9
2006-05-01,Estonia,EST,-1.390412499585226,-0.8742023676880705,79
2006-05-01,Fiji,FJI,1.1070612687864838,0.6960492534680224,38
2006-05-01,Finland,FIN,-2.652993768895564,-1.6680326413363344,104
2006-05-01,France,FRA,-2.264338675326077,-1.4236711995959668,100
2006-05-01,Georgia,GEO,1.3064830164644905,0.8214328817370521,29
2006-05-01,Germany,DEU,-1.8224533765348307,-1.1458420125273134,88
2006-05-01,Greece,GRC,1.3715204788854185,0.8623242745098874,27
2006-05-01,Guatemala,GTM,0.8101488493687627,0.5093697320106167,43
2006-05-01,Honduras,HND,1.183397821210408,0.7440447906845291,35
2006-05-01,Hong Kong,HKG,-1.9914880239443296,-1.2521201774825215,97
2006-05-01,Hungary,HUN,-0.637261785855231,-0.4006694144348949,67
2006-05-01,Iceland,ISL,-1.5178722139947967,-0.9543408763356346,80
2006-05-01,India,IND,0.2829135307970098,0.17787791647983384,53
2006-05-01,Indonesia,IDN,1.6578640015041988,1.0423587502644953,19
2006-05-01,Ireland,IRL,-1.6366674616121315,-1.0290317229499628,82
2006-05-01,Israel,ISR,-1.2678058658783986,-0.7971151654996937,78
2006-05-01,Italy,ITA,-1.7310677380941666,-1.0883845734426199,84
2006-05-01,Jamaica,JAM,1.9479044500083773,1.224717616344382,13
2006-05-01,Japan,JPN,-1.6175227414951374,-1.0169947485556774,81
2006-05-01,Jordan,JOR,1.5777602714212362,0.9919946529048544,22
2006-05-01,Kazakhstan,KAZ,0.012365156905609732,0.007774419064085776,56
2006-05-01,Kuwait,KWT,-1.8604171019991758,-1.1697111727204867,93
2006-05-01,Latvia,LVA,-0.5844175505936441,-0.36744434230836726,64
2006-05-01,Lebanon,LBN,2.5079569077338393,1.5768427480726814,3
2006-05-01,Lithuania,LTU,-1.199400337298976,-0.7541061483447673,76
2006-05-01,Luxembourg,LUX,-1.8224533765348307,-1.1458420125273134,90
2006-05-01,Malaysia,MYS,-0.7602941190261773,-0.47802426919369023,70
2006-05-01,Malta,MLT,-0.9959316475138705,-0.626178061957749,73
2006-05-01,Mauritius,MUS,-0.04266673779592452,-0.02682611326771735,57
2006-05-01,Mexico,MEX,-0.2620731454136965,-0.1647748163199466,62
2006-05-01,Moldova,MDA,1.62560625901679,1.0220771468790417,21
2006-05-01,Mongolia,MNG,2.0076530382146043,1.2622837035965353,10
2006-05-01,Montenegro,MNE,1.0567184154450078,0.6643968901582706,40
2006-05-01,Morocco,MAR,0.5247972495592058,0.32995891381708903,47
2006-05-01,Mozambique,MOZ,2.589541814975569,1.6281381148070913,2
2006-05-01,Namibia,NAM,1.0481891645316896,0.6590342432133872,41
2006-05-01,Netherlands,NLD,-2.867705058477279,-1.8030293547416636,108
2006-05-01,New Zealand,NZL,-2.5400436765717718,-1.5970168541728123,103
2006-05-01,Nicaragua,NIC,2.1536400113943026,1.3540709664723927,8
2006-05-01,Norway,NOR,-1.8224533765348307,-1.1458420125273134,92
2006-05-01,Oman,OMN,-0.5556532827859428,-0.3493592121546845,63
2006-05-01,Pakistan,PAK,2.154499984817342,1.3546116627066354,7
2006-05-01,Panama,PAN,-1.0011580561309064,-0.6294640931095699,74
2006-05-01,Papua New Guinea,PNG,1.3057115039853122,0.8209478040811767,30
2006-05-01,Paraguay,PRY,1.1516110585249395,0.7240593092471393,36
2006-05-01,Peru,PER,0.39780310028247073,0.25011312272029435,49
2006-05-01,Philippines,PHL,0.939140795966682,0.5904716101670869,42
2006-05-01,Poland,POL,-0.8469550260980033,-0.5325110996636305,72
2006-05-01,Portugal,PRT,-0.21555733098873353,-0.13552865007980414,60
2006-05-01,Qatar,QAT,-1.8847084463156538,-1.1849840149325108,94
2006-05-01,Romania,ROU,0.25601293115840523,0.1609645415617342,54
2006-05-01,Russia,RUS,-0.2178257882587786,-0.13695491078809335,61
2006-05-01,Saudi Arabia,SAU,-1.2578000516298824,-0.7908241500569319,77
2006-05-01,Singapore,SGP,-1.8224533765348307,-1.1458420125273134,86
2006-05-01,Slovakia,SVK,-2.2066103308504634,-1.387375312268754,99
2006-05-01,Slovenia,SVN,-1.957433276580301,-1.2307087324721138,95
2006-05-01,South Africa,ZAF,0.30741148204747343,0.19328065990529272,51
2006-05-01,South Korea,KOR,-1.7895965890790024,-1.125183768015647,85
2006-05-01,Spain,ESP,-0.7872595327715646,-0.4949783950728363,71
2006-05-01,Sri Lanka,LKA,1.5152787466726685,0.9527102701132348,24
2006-05-01,Suriname,SUR,2.330487281127645,1.465261208192873,6
2006-05-01,Sweden,SWE,-1.8224533765348307,-1.1458420125273134,87
2006-05-01,Switzerland,CHE,-1.8224533765348307,-1.1458420125273134,91
2006-05-01,Taiwan,TWN,-1.9661334142052151,-1.2361788220413465,96
2006-05-01,Thailand,THA,-0.16028730183691034,-0.10077839405065737,59
2006-05-01,Trinidad and Tobago,TTO,-0.6215535418046099,-0.39079307619327847,66
2006-05-01,Tunisia,TUN,1.8385917088574935,1.1559887627408056,18
2006-05-01,Türkiye,TUR,1.2742627671198945,0.8011748516395463,32
2006-05-01,Ukraine,UKR,1.5477025750937758,0.9730962977012344,23
2006-05-01,United Arab Emirates,ARE,-2.3631545040006094,-1.4858002666304653,102
2006-05-01,United Kingdom,GBR,-2.276364309259784,-1.4312321483510542,101
2006-05-01,United States,USA,-2.8056416801919517,-1.7640078756770419,107
2006-05-01,Uruguay,URY,1.8962151298179917,1.1922186808787547,15
2006-05-01,Venezuela,VEN,2.3624020728191684,1.4853271860730521,5
2006-05-01,Zambia,ZMB,0.6016338396110571,0.37826884268240324,46
2006-06-01,Albania,ALB,1.1507441927999806,0.7235142795746841,37
2006-06-01,Angola,AGO,2.00414526925393,1.2600782430359903,11
2006-06-01,Argentina,ARG,1.627402996910926,1.023206820642502,20
2006-06-01,Armenia,ARM,1.4298890499005357,0.8990226952988304,26
2006-06-01,Australia,AUS,-2.7118078579631186,-1.7050111753552757,105
2006-06-01,Austria,AUT,-2.7433992808003635,-1.7248738396014565,106
2006-06-01,Azerbaijan,AZE,0.6111608669981677,0.3842588275979055,45
2006-06-01,Bahamas,BHS,0.16015515230054428,0.10069530688219873,55
2006-06-01,Bahrain,BHR,-0.6041234616986456,-0.3798341576693353,65
2006-06-01,Bangladesh,BGD,1.4413592919831197,0.9062344492132562,25
2006-06-01,Barbados,BRB,1.2994918518524254,0.8170372849924978,31
2006-06-01,Belarus,BLR,2.4992823249777434,1.5713887257689787,4
2006-06-01,Belgium,BEL,-2.1948855729657186,-1.3800035351116362,98
2006-06-01,Belize,BLZ,1.880179365436565,1.1821364188204713,16
2006-06-01,Bolivia,BOL,1.982031553264589,1.2461745541076827,12
2006-06-01,Bosnia and Herzegovina,BIH,1.189991050263228,0.7481901910246473,34
2006-06-01,Botswana,BWA,-0.6500689861224952,-0.40872176206585875,69
2006-06-01,Brazil,BRA,1.1012112310923585,0.6923711242762938,39
2006-06-01,Bulgaria,BGR,0.2847938616693814,0.1790601481565158,52
2006-06-01,Cambodia,KHM,1.3070696747400614,0.8218017349037784,28
2006-06-01,Canada,CAN,-0.15535616738235988,-0.09767801238921361,58
2006-06-01,Chile,CHL,-1.0623226621284998,-0.6679204816976722,75
2006-06-01,China,CHN,-0.640883298937439,-0.40294639001733823,68
2006-06-01,Colombia,COL,0.6587223717901523,0.41416245699735604,44
2006-06-01,Costa Rica,CRI,1.2421305871861308,0.7809721939495047,33
2006-06-01,Croatia,HRV,0.4179251292710431,0.26276456636723033,48
2006-06-01,Cyprus,CYP,0.35305502284044754,0.22197839632724525,50
2006-06-01,Czechia,CZE,-1.6817828236637091,-1.0573973743925087,83
2006-06-01,Denmark,DNK,-1.8224533765348307,-1.1458420125273134,89
2006-06-01,Dominican Republic,DOM,1.8714236905695787,1.1766314109888316,17
2006-06-01,Ecuador,ECU,2.7894004652847495,1.7537964394807746,1
2006-06-01,Egypt,EGY,1.9230677828737528,1.2091019100550282,14
2006-06-01,El Salvador,SLV,2.0609568921813115,1.2957977545407662,9
2006-06-01,Estonia,EST,-1.390412499585226,-0.8742023676880705,79
2006-06-01,Fiji,FJI,1.1070612687864838,0.6960492534680224,38
2006-06-01,Finland,FIN,-2.652993768895564,-1.6680326413363344,104
2006-06-01,France,FRA,-2.264338675326077,-1.4236711995959668,100
2006-06-01,Georgia,GEO,1.3064830164644905,0.8214328817370521,29
2006-06-01,Germany,DEU,-1.8224533765348307,-1.1458420125273134,88
2006-06-01,Greece,GRC,1.3715204788854185,0.8623242745098874,27
2006-06-01,Guatemala,GTM,0.8101488493687627,0.5093697320106167,43
2006-06-01,Honduras,HND,1.183397821210408,0.7440447906845291,35
2006-06-01,Hong Kong,HKG,-1.9914880239443296,-1.2521201774825215,97
2006-06-01,Hungary,HUN,-0.637261785855231,-0.4006694144348949,67
2006-06-01,Iceland,ISL,-1.5178722139947967,-0.9543408763356346,80
2006-06-01,India,IND,0.2829135307970098,0.17787791647983384,53
2006-06-01,Indonesia,IDN,1.6578640015041988,1.0423587502644953,19
2006-06-01,Ireland,IRL,-1.6366674616121315,-1.0290317229499628,82
2006-06-01,Israel,ISR,-1.2678058658783986,-0.7971151654996937,78
2006-06-01,Italy,ITA,-1.7310677380941666,-1.0883845734426199,84
2006-06-01,Jamaica,JAM,1.9479044500083773,1.224717616344382,13
2006-06-01,Japan,JPN,-1.6175227414951374,-1.0169947485556774,81
2006-06-01,Jordan,JOR,1.5777602714212362,0.9919946529048544,22
2006-06-01,Kazakhstan,KAZ,0.012365156905609732,0.007774419064085776,56
2006-06-01,Kuwait,KWT,-1.8604171019991758,-1.1697111727204867,93
2006-06-01,Latvia,LVA,-0.5844175505936441,-0.36744434230836726,64
2006-06-01,Lebanon,LBN,2.5079569077338393,1.5768427480726814,3
2006-06-01,Lithuania,LTU,-1.199400337298976,-0.7541061483447673,76
2006-06-01,Luxembourg,LUX,-1.8224533765348307,-1.1458420125273134,90
2006-06-01,Malaysia,MYS,-0.7602941190261773,-0.47802426919369023,70
2006-06-01,Malta,MLT,-0.9959316475138705,-0.626178061957749,73
2006-06-01,Mauritius,MUS,-0.04266673779592452,-0.02682611326771735,57
2006-06-01,Mexico,MEX,-0.2620731454136965,-0.1647748163199466,62
2006-06-01,Moldova,MDA,1.62560625901679,1.0220771468790417,21
2006-06-01,Mongolia,MNG,2.0076530382146043,1.2622837035965353,10
2006-06-01,Montenegro,MNE,1.0567184154450078,0.6643968901582706,40
2006-06-01,Morocco,MAR,0.5247972495592058,0.32995891381708903,47
2006-06-01,Mozambique,MOZ,2.589541814975569,1.6281381148070913,2
2006-06-01,Namibia,NAM,1.0481891645316896,0.6590342432133872,41
2006-06-01,Netherlands,NLD,-2.867705058477279,-1.8030293547416636,108
2006-06-01,New Zealand,NZL,-2.5400436765717718,-1.5970168541728123,103
2006-06-01,Nicaragua,NIC,2.1536400113943026,1.3540709664723927,8
2006-06-01,Norway,NOR,-1.8224533765348307,-1.1458420125273134,92
2006-06-01,Oman,OMN,-0.5556532827859428,-0.3493592121546845,63
2006-06-01,Pakistan,PAK,2.154499984817342,1.3546116627066354,7
2006-06-01,Panama,PAN,-1.0011580561309064,-0.6294640931095699,74
2006-06-01,Papua New Guinea,PNG,1.3057115039853122,0.8209478040811767,30
2006-06-01,Paraguay,PRY,1.1516110585249395,0.7240593092471393,36
2006-06-01,Peru,PER,0.39780310028247073,0.25011312272029435,49
2006-06-01,Philippines,PHL,0.939140795966682,0.5904716101670869,42
2006-06-01,Poland,POL,-0.8469550260980033,-0.5325110996636305,72
2006-06-01,Portugal,PRT,-0.21555733098873353,-0.13552865007980414,60
2006-06-01,Qatar,QAT,-1.8847084463156538,-1.1849840149325108,94
2006-06-01,Romania,ROU,0.25601293115840523,0.1609645415617342,54
2006-06-01,Russia,RUS,-0.2178257882587786,-0.13695491078809335,61
2006-06-01,Saudi Arabia,SAU,-1.2578000516298824,-0.7908241500569319,77
2006-06-01,Singapore,SGP,-1.8224533765348307,-1.1458420125273134,86
2006-06-01,Slovakia,SVK,-2.2066103308504634,-1.387375312268754,99
2006-06-01,Slovenia,SVN,-1.957433276580301,-1.2307087324721138,95
2006-06-01,South Africa,ZAF,0.30741148204747343,0.19328065990529272,51
2006-06-01,South Korea,KOR,-1.7895965890790024,-1.125183768015647,85
2006-06-01,Spain,ESP,-0.7872595327715646,-0.4949783950728363,71
2006-06-01,Sri Lanka,LKA,1.5152787466726685,0.9527102701132348,24
2006-06-01,Suriname,SUR,2.330487281127645,1.465261208192873,6
2006-06-01,Sweden,SWE,-1.8224533765348307,-1.1458420125273134,87
2006-06-01,Switzerland,CHE,-1.8224533765348307,-1.1458420125273134,91
2006-06-01,Taiwan,TWN,-1.9661334142052151,-1.2361788220413465,96
2006-06-01,Thailand,THA,-0.16028730183691034,-0.10077839405065737,59
2006-06-01,Trinidad and Tobago,TTO,-0.6215535418046099,-0.39079307619327847,66
2006-06-01,Tunisia,TUN,1.8385917088574935,1.1559887627408056,18
2006-06-01,Türkiye,TUR,1.2742627671198945,0.8011748516395463,32
2006-06-01,Ukraine,UKR,1.5477025750937758,0.9730962977012344,23
2006-06-01,United Arab Emirates,ARE,-2.3631545040006094,-1.4858002666304653,102
2006-06-01,United Kingdom,GBR,-2.276364309259784,-1.4312321483510542,101
2006-06-01,United States,USA,-2.8056416801919517,-1.7640078756770419,107
2006-06-01,Uruguay,URY,1.8962151298179917,1.1922186808787547,15
2006-06-01,Venezuela,VEN,2.3624020728191684,1.4853271860730521,5
2006-06-01,Zambia,ZMB,0.6016338396110571,0.37826884268240324,46
2006-07-01,Albania,ALB,1.1507441927999806,0.7235142795746841,37
2006-07-01,Angola,AGO,2.00414526925393,1.2600782430359903,11
2006-07-01,Argentina,ARG,1.627402996910926,1.023206820642502,20
2006-07-01,Armenia,ARM,1.4298890499005357,0.8990226952988304,26
2006-07-01,Australia,AUS,-2.7118078579631186,-1.7050111753552757,105
2006-07-01,Austria,AUT,-2.7433992808003635,-1.7248738396014565,106
2006-07-01,Azerbaijan,AZE,0.6111608669981677,0.3842588275979055,45
2006-07-01,Bahamas,BHS,0.16015515230054428,0.10069530688219873,55
2006-07-01,Bahrain,BHR,-0.6041234616986456,-0.3798341576693353,65
2006-07-01,Bangladesh,BGD,1.4413592919831197,0.9062344492132562,25
2006-07-01,Barbados,BRB,1.2994918518524254,0.8170372849924978,31
2006-07-01,Belarus,BLR,2.4992823249777434,1.5713887257689787,4
2006-07-01,Belgium,BEL,-2.1948855729657186,-1.3800035351116362,98
2006-07-01,Belize,BLZ,1.880179365436565,1.1821364188204713,16
2006-07-01,Bolivia,BOL,1.982031553264589,1.2461745541076827,12
2006-07-01,Bosnia and Herzegovina,BIH,1.189991050263228,0.7481901910246473,34
2006-07-01,Botswana,BWA,-0.6500689861224952,-0.40872176206585875,69
2006-07-01,Brazil,BRA,1.1012112310923585,0.6923711242762938,39
2006-07-01,Bulgaria,BGR,0.2847938616693814,0.1790601481565158,52
2006-07-01,Cambodia,KHM,1.3070696747400614,0.8218017349037784,28
2006-07-01,Canada,CAN,-0.15535616738235988,-0.09767801238921361,58
2006-07-01,Chile,CHL,-1.0623226621284998,-0.6679204816976722,75
2006-07-01,China,CHN,-0.640883298937439,-0.40294639001733823,68
